rank,CHP_ID,Chinese_herbal_pieces,adj_avg_score,total_compounds,effective_count,high_quality_count,ultra_high_count
454,CHP04127,甜叶菊,0.795068733844272,3.0,3.0,2.0,2.0
455,CHP03532,山姜,0.7950218542848405,18.0,18.0,12.0,12.0
456,CHP01132,肝风草,0.7949427689276979,18.0,18.0,12.0,12.0
457,CHP02983,牛蒡根,0.7949256492288874,3.0,3.0,2.0,1.0
458,CHP04523,夏至草,0.7948876456511103,13.0,13.0,8.0,8.0
459,CHP02901,木通,0.7948780531941048,62.0,62.0,36.0,36.0
460,CHP03416,三钻风,0.7947342335696812,4.0,4.0,3.0,2.0
461,CHP00347,常春藤,0.7945214561893111,11.0,11.0,7.0,7.0
462,CHP01630,黄柏,0.7944847860933679,54.0,54.0,33.0,33.0
463,CHP05456,浙贝母,0.794456720767349,3.0,3.0,2.0,2.0
464,CHP01163,高粱,0.7943661012484711,6.0,6.0,4.0,4.0
465,CHP05325,月见草,0.7943650008312947,2.0,2.0,2.0,1.0
466,CHP01930,金牛草,0.7943644337922598,19.0,19.0,12.0,12.0
467,CHP01558,虎掌草,0.7943589786650357,5.0,5.0,3.0,3.0
468,CHP01985,荆芥穗,0.794318316248471,6.0,6.0,4.0,4.0
469,CHP03088,蟛蜞菊,0.7942189305867963,7.0,7.0,5.0,5.0
470,CHP03772,柿根,0.794153419164628,2.0,2.0,2.0,1.0
471,CHP03503,山矾,0.7940676679983691,5.0,5.0,3.0,3.0
472,CHP02847,木半夏根,0.7938565053827336,3.0,3.0,2.0,2.0
473,CHP04374,无患子皮,0.7937920199983691,5.0,5.0,3.0,3.0
474,CHP01045,风藤,0.7937689042421772,89.0,89.0,61.0,61.0
475,CHP00209,半夏,0.7936286441210639,155.0,155.0,91.0,87.0
476,CHP01822,蕺叶秋海棠,0.7934048238442721,3.0,3.0,2.0,2.0
477,CHP02504,罗勒子,0.7933057245432306,1.0,1.0,1.0,1.0
478,CHP02459,鹿葱,0.7933057245432306,1.0,1.0,1.0,1.0
479,CHP02831,魔芋,0.7933057245432306,1.0,1.0,1.0,1.0
480,CHP03933,睡菜根,0.7933057245432306,1.0,1.0,1.0,1.0
481,CHP01226,枸骨根,0.7933057245432306,1.0,1.0,1.0,1.0
482,CHP01170,高山辣根菜,0.7933057245432306,1.0,1.0,1.0,1.0
483,CHP02941,南蛇藤叶,0.7933057245432306,1.0,1.0,1.0,1.0
484,CHP01546,槲叶,0.7933057245432306,1.0,1.0,1.0,1.0
485,CHP04379,无漏子,0.7933057245432306,1.0,1.0,1.0,1.0
486,CHP03056,藕节,0.7933057245432306,1.0,1.0,1.0,1.0
487,CHP03018,牛尾菜,0.7933057245432306,1.0,1.0,1.0,1.0
488,CHP02427,龙眼肉,0.7933057245432306,1.0,1.0,1.0,1.0
489,CHP01868,浆果苋,0.7933057245432306,1.0,1.0,1.0,1.0
490,CHP03464,砂生槐,0.7933057245432306,1.0,1.0,1.0,1.0
491,CHP03453,沙枣,0.7933057245432306,1.0,1.0,1.0,1.0
492,CHP05175,银粉背蕨,0.7933057245432306,1.0,1.0,1.0,1.0
493,CHP02284,栗柄金粉蕨,0.7933057245432306,1.0,1.0,1.0,1.0
494,CHP01604,华中瘤足蕨,0.7933057245432306,1.0,1.0,1.0,1.0
495,CHP01050,风箱树叶,0.7933057245432306,1.0,1.0,1.0,1.0
496,CHP00254,鞭打绣球,0.7933057245432306,1.0,1.0,1.0,1.0
497,CHP00250,篦子三尖杉,0.7933057245432306,1.0,1.0,1.0,1.0
498,CHP05355,云实叶,0.7933057245432306,1.0,1.0,1.0,1.0
499,CHP05467,真藓,0.7933057245432306,1.0,1.0,1.0,1.0
500,CHP05435,长尾复叶耳蕨,0.7933057245432306,1.0,1.0,1.0,1.0
501,CHP05461,鹧鸪菜,0.7933057245432306,1.0,1.0,1.0,1.0
502,CHP00225,暴马子皮,0.7933057245432306,1.0,1.0,1.0,1.0
503,CHP04163,铁树叶,0.7933057245432306,1.0,1.0,1.0,1.0
504,CHP01594,华南皂荚,0.7933057245432306,1.0,1.0,1.0,1.0
505,CHP03881,水木草,0.7933057245432306,1.0,1.0,1.0,1.0
506,CHP05481,栀子叶,0.7933057245432306,1.0,1.0,1.0,1.0
507,CHP00176,百蕊草,0.7933057245432306,1.0,1.0,1.0,1.0
508,CHP02813,绵藤,0.7933057245432306,1.0,1.0,1.0,1.0
509,CHP04297,王孙,0.7933057245432306,1.0,1.0,1.0,1.0
510,CHP01216,狗屎花,0.7933057245432306,1.0,1.0,1.0,1.0
511,CHP02519,落葵,0.7933057245432306,1.0,1.0,1.0,1.0
512,CHP05267,鱼腥草,0.7933057245432306,1.0,1.0,1.0,1.0
513,CHP03568,山稔叶,0.7933057245432306,1.0,1.0,1.0,1.0
514,CHP01935,金雀根,0.7933057245432306,1.0,1.0,1.0,1.0
515,CHP03216,窃衣,0.7933057245432306,1.0,1.0,1.0,1.0
516,CHP00430,椿白皮,0.7933057245432306,1.0,1.0,1.0,1.0
517,CHP00671,地丁,0.7933057245432306,1.0,1.0,1.0,1.0
518,CHP02049,卷丹,0.7933057245432306,1.0,1.0,1.0,1.0
519,CHP01963,金樱叶,0.7933057245432306,1.0,1.0,1.0,1.0
520,CHP04869,鸭儿芹,0.7933057245432306,1.0,1.0,1.0,1.0
521,CHP03201,茜草藤,0.7933057245432306,1.0,1.0,1.0,1.0
522,CHP03375,三叉凤尾蕨,0.7933057245432306,1.0,1.0,1.0,1.0
523,CHP04622,小百部,0.7933057245432306,1.0,1.0,1.0,1.0
524,CHP04933,岩乌头,0.7933057245432306,1.0,1.0,1.0,1.0
525,CHP01811,吉林乌头,0.7933057245432306,1.0,1.0,1.0,1.0
526,CHP04666,小花盾叶薯蓣,0.7933057245432306,1.0,1.0,1.0,1.0
527,CHP03113,苹果,0.7933057245432306,1.0,1.0,1.0,1.0
528,CHP01733,黄蜀葵花,0.7933057245432306,1.0,1.0,1.0,1.0
529,CHP03552,山萝卜,0.7933057245432306,1.0,1.0,1.0,1.0
530,CHP05729,总状绿绒蒿,0.7933057245432306,1.0,1.0,1.0,1.0
531,CHP06039,象胆,0.7933057245432306,1.0,1.0,1.0,1.0
532,CHP05592,苎麻根,0.7933057245432306,1.0,1.0,1.0,1.0
533,CHP05772,蚕蛾,0.7933057245432306,1.0,1.0,1.0,1.0
534,CHP05800,鹅臎,0.7933057245432306,1.0,1.0,1.0,1.0
