InChIKey,SMILES
DLMYFMLKORXJPO-UHFFFAOYSA-N,NC(CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O
DLRVVLDZNNYCBX-UHFFFAOYSA-N,OCC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O
DLWUYAIVWSGEIY-UHFFFAOYSA-N,CC(O)C(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)C(O)C(F)(F)C(=O)NCCN1CCOCC1
DMTWTSCIJIGXEM-UHFFFAOYSA-N,CCC(C)C(NC(=O)CC(O)C(CC(C)C)NC(=O)C(CC1N=CC=N1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1ccccn1
DNVPQKQSNYMLRS-UHFFFAOYSA-N,CC(C)C(C)C=CC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C
DOCCSEDGBYCYLS-UHFFFAOYSA-N,NCCc1ccc(O)c(C2CCCCC2)c1
DOQMCKFDYQAPMT-UHFFFAOYSA-N,COC(=O)CC(O)C(CC(C)C)NC(=O)C(C)NC(=O)CC(O)C(CC(C)C)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1)C(C)C
DORMUSOHCBZVOD-UHFFFAOYSA-N,C=CCSC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1
DPJQBOWFYJTIJB-UHFFFAOYSA-N,COc1ccc(-c2nsc(C)c2C(=O)NC(N)=NCc2cc(Cl)c(N)c(Cl)c2)cc1
DPYMFVXJLLWWEU-UHFFFAOYSA-N,FC(F)OC(F)C(F)(F)F
DQBQWWSFRPLIAX-UHFFFAOYSA-N,CC(=O)C1=NCCC1
DQJCDTNMLBYVAY-UHFFFAOYSA-N,CCNC1C(O)OC(CO)C(OC2OC(CO)C(O)C(O)C2NC(C)=O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)NC(CCCCN)C(=O)NC(C)C(=O)O)C(N)=O
DQMDEHSLPXZFSC-UHFFFAOYSA-N,Cc1cc(N(C)CCN)cc(C)c1OCC(=O)NC(Cc1ccccc1)C(O)C(=O)N1CSC(C)(C)C1C(=O)NC1c2ccccc2CC1O
DRJKKOJWAZDQPP-UHFFFAOYSA-N,CC(C)CC(O)C(O)C(CC1CCCCC1)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(Cc1ccccc1)NC(=O)N(C)CCO
DRZQFGYIIYNNEC-UHFFFAOYSA-N,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(Oc4c(O)cc(Oc5c(O)cc(O)c6c5Oc5c(O)cc(O)cc5O6)cc4O)cc2O3)c1
DSYAVZFNUYSNIS-UHFFFAOYSA-N,CN1C(=O)C2(N=C1N)c1cc(-c3cccnc3F)ccc1CC1CCOCC12
DWJLWZMNUKFHOF-UHFFFAOYSA-N,CCCOC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)C(O)C(F)(F)C(=O)NCCN1CCOCC1
