rank,CHP_ID,Chinese_herbal_pieces,effective_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
780,CHP01898,芥子,0.4690315815367647,136.0,136.0,59.0,55.0
781,CHP00088,白花菜子,0.4687387265202128,94.0,94.0,35.0,31.0
782,CHP01506,厚皮香,0.4676729548571429,7.0,7.0,3.0,3.0
783,CHP01933,金荞麦,0.4675716006956521,23.0,23.0,8.0,5.0
784,CHP04253,兔儿伞,0.4675011625,2.0,2.0,1.0,1.0
785,CHP03176,千打锤,0.46723323557692303,26.0,26.0,8.0,6.0
786,CHP05834,蛤蚧,0.46717560333333336,3.0,3.0,1.0,1.0
787,CHP00234,贝加尔唐松草,0.4667763275,4.0,4.0,1.0,1.0
788,CHP04084,天胡荽,0.4665456399166666,12.0,12.0,5.0,5.0
789,CHP00355,车前草,0.46632745454035535,197.0,197.0,74.0,63.0
790,CHP00519,大戟,0.4663158901280374,107.0,107.0,39.0,32.0
791,CHP02494,罗锅底,0.46622211222222215,9.0,9.0,3.0,3.0
792,CHP00802,东方狗脊,0.4659441469166667,12.0,12.0,4.0,4.0
793,CHP00875,杜茎山,0.46536984300000006,25.0,25.0,9.0,8.0
794,CHP01272,贯叶连翘,0.46529027115625,32.0,32.0,12.0,8.0
795,CHP01425,红花,0.4651991854982456,114.0,114.0,34.0,31.0
796,CHP02567,马蛋果,0.46491928,2.0,2.0,1.0,0.0
797,CHP01953,金腰,0.46477213,3.0,3.0,1.0,1.0
798,CHP05376,泽兰,0.4644373269688889,45.0,45.0,20.0,19.0
799,CHP03565,山萩,0.46430270599999995,5.0,5.0,2.0,2.0
800,CHP01042,风轮菜,0.4642802727525,40.0,40.0,16.0,16.0
801,CHP02308,莲生桂子花,0.46426398036363636,11.0,11.0,4.0,4.0
