rank,CHP_ID,Chinese_herbal_pieces,comprehensive_score,total_score,effective_avg,high_quality_avg,ultra_high_count,high_quality_ratio
850,CHP04042,太子参,0.3916475902413789,13.248854130000002,0.6973081121052632,0.9209273357142856,5.0,0.3684210526315789
851,CHP01363,荷花玉兰,0.3916085812025346,8.2112707,0.7464791545454545,0.903216375,2.0,0.36363636363636365
852,CHP02756,梅花,0.3914117481460773,44.58654496,0.696664765,0.8683649005263158,4.0,0.296875
853,CHP00305,藏边大黄,0.3913716293508549,20.68139532,0.7386212614285714,0.8748143110000001,1.0,0.35714285714285715
854,CHP02100,苦豆子,0.39136140969101596,1.27099284,0.63549642,0.9383774,1.0,0.5
855,CHP00020,桉叶,0.39135431072455434,19.779753780000004,0.7064197778571429,0.8494900416666665,3.0,0.42857142857142855
856,CHP00095,白花藤,0.3912491149593904,2.4150545500000002,0.8050181833333334,0.89281255,0.0,0.3333333333333333
857,CHP02663,毛草龙,0.39124727280091953,4.39062434,0.7317707233333333,0.8341672666666667,0.0,0.5
858,CHP03176,千打锤,0.3911459543064857,18.15294637,0.6981902449999999,0.9101406177777778,7.0,0.34615384615384615
859,CHP00080,白果紫草,0.39114289089071724,8.646902859999999,0.7860820781818181,0.8632717875,1.0,0.36363636363636365
860,CHP02940,南蛇藤果,0.3910630129746348,16.6230784,0.6926282666666667,0.8817525270000001,3.0,0.4166666666666667
861,CHP03905,水团花,0.3910319569030249,4.20759683,0.7012661383333333,0.8642329999999999,0.0,0.5
862,CHP01896,芥菜,0.39073958510367457,4.9937912,0.7133987428571429,0.8979659333333333,1.0,0.42857142857142855
863,CHP00726,灯心草,0.39067429237635676,27.756826229999998,0.7501844927027026,0.8562205016666667,2.0,0.32432432432432434
864,CHP01138,橄榄,0.39049054612445183,18.38481383,0.7353925532,0.8759921155555557,2.0,0.36
865,CHP01296,广金钱草,0.3903917425806641,15.756139690000001,0.7502923661904762,0.8540431612499999,2.0,0.38095238095238093
866,CHP03202,羌活,0.38996790521211605,65.83063662,0.6453983982352942,0.8702140503999999,6.0,0.24509803921568626
867,CHP01876,胶质鼠尾草,0.38961093566894756,2.3402713,0.7800904333333333,0.9063053,1.0,0.3333333333333333
