CHP_ID,Chinese_herbal_pieces,total_score
CHP00386,赤杨,21.003993519999998
CHP05687,紫菀,20.97861782
CHP04807,绣线菊,20.97667078
CHP00416,川木香,20.90452845
CHP04047,檀香,20.81039171
CHP00305,藏边大黄,20.68139532
CHP03591,山药,20.67543486
CHP00710,地梭罗,20.6522297
CHP01580,华东膜蕨,20.64593549
CHP03139,蒲桃,20.64524108
CHP01350,旱芹,20.57184945
CHP00316,草果,20.56864284
CHP02180,莱菔子,20.54153943
CHP01370,鹤虱,20.52668836
CHP04225,土茯苓,20.46993797
CHP06128,松萝,20.46387524
CHP03398,三七花,20.43647755
CHP04519,夏枯草,20.35333534
CHP02367,琉璃草,20.27812134
CHP01836,荚蒾,20.23922091
CHP02416,龙须藤,20.20621469
CHP01364,荷叶,20.190169570000002
CHP05380,泽泻,20.12593326
CHP01931,金钱草,20.10755002
CHP04006,酸枣仁,19.94270074
CHP00020,桉叶,19.77975378
CHP00642,刀豆,19.76489092
CHP01756,茴芹,19.71968652
CHP02507,萝芙木,19.64535798
CHP00875,杜茎山,19.56494456
CHP03605,山楂叶,19.48759254
CHP00906,堆心菊,19.42791149
CHP03185,千年健,19.39995264
CHP02543,麻风树,19.32630386
CHP01338,海金砂,19.2579826
CHP03204,枪刀药,19.21930403
CHP02898,木天蓼,19.13582301
CHP00987,番木瓜,19.0993468
CHP01741,黄杨,19.06527477
CHP02353,灵香草,19.02394478
CHP04216,土贝母,19.00910259
CHP00060,白车轴草,18.98696469
CHP02612,麦芽,18.98330916
CHP02060,爵床,18.85830564
CHP00496,大风子,18.78264656
CHP02327,两头尖,18.77900956
CHP00485,大丁草,18.71126668
CHP04106,天竺黄,18.70800344
CHP04174,通草,18.62342177
CHP02537,绿绒蒿,18.61600094
CHP05427,长管香茶菜,18.54953743
CHP04838,雪莲,18.53136658
CHP02440,漏芦,18.51292313
CHP00791,定木香,18.5083138
CHP01211,狗脊,18.48697829
CHP00597,大叶仙茅,18.44908517
CHP01138,橄榄,18.38481383
CHP03218,秦艽,18.35576179
CHP00806,东风橘根,18.211739
CHP03176,千打锤,18.15294637
CHP00191,斑鸠菊,18.05932971
CHP02095,苦地丁,18.04037003
CHP02489,罗布麻叶,18.01345556
CHP02939,南蛇藤根,18.01208222
CHP01916,金鸡纳,17.70712566
CHP02441,芦根,17.64254833
CHP05132,一年蓬,17.53961835
CHP02517,落花生,17.50235011
CHP01679,黄荆叶,17.49804285
CHP00457,葱,17.3370611
CHP04178,通关藤,17.23136724
CHP02048,卷柏,17.20723424
CHP05370,皂荚,16.99138516
CHP04413,五色梅,16.98968626
CHP03186,千屈菜,16.9223077
CHP05896,僵蚕,16.91548886
CHP00630,淡豆豉,16.8957627
CHP01933,金荞麦,16.87382362
CHP02222,老鹳草,16.79029956
CHP03871,水龙骨,16.78521037
CHP01992,景天三七,16.76624957
CHP02940,南蛇藤果,16.6230784
CHP02869,木蝴蝶,16.58898654
CHP00281,菠菜,16.55086308
CHP01644,黄瓜,16.50533838
CHP00997,番泻叶,16.40126895
CHP05615,梓叶,16.3707609
CHP04482,细辛,16.34140947
CHP01813,吉祥草,16.33014746
CHP02375,柳杉,16.27878938
CHP01690,黄连,16.27346225
CHP02547,麻黄根,16.2708597
CHP01288,光叶巴豆,16.18581424
CHP02355,铃兰,16.1544497
CHP03869,水流豆,16.12126331
CHP03657,蛇葡萄,16.11051758
CHP03527,山黄皮,16.04558305
CHP02985,牛蒡子,16.0375733
CHP02240,老鼠簕,16.02113365
CHP01669,黄花远志,16.01490206
CHP03649,蛇菰,15.95537231
CHP04469,喜树,15.94129236
CHP03344,肉桂,15.93774231
CHP04008,算盘子,15.78096773
CHP05962,牛黄,15.77688099
CHP01296,广金钱草,15.75613969
CHP00762,吊干麻,15.71457277
CHP04280,晚香玉,15.68828475
CHP02137,苦玄参,15.67889089
CHP03498,山地香茶菜,15.64302832
CHP04647,小构树,15.63930413
CHP03601,山楂,15.55835452
CHP03768,使君子,15.52883299
CHP00483,大车前,15.52262459
CHP04368,无花果,15.38823389
CHP03977,苏合香,15.32887159
CHP02418,龙血树,15.32321902
CHP04359,乌药,15.322712469999999
CHP03664,麝香草,15.30860887
CHP02889,木榄,15.14283644
CHP03363,瑞香,15.03774189
CHP05704,紫玉盘,14.98281212
CHP01936,金雀花,14.89398313
CHP04824,玄参,14.856575190000001
CHP00049,霸王鞭,14.81895716
