rank,CHP_ID,Chinese_herbal_pieces,total_score,total_compounds,effective_count,high_quality_count,ultra_high_count
1149,CHP04971,羊蹄,3.06341119,4.0,4.0,2.0,1.0
1150,CHP05392,粘毛鼠尾草,3.05926936,4.0,4.0,2.0,0.0
1151,CHP02639,芒果核,3.0512070200000005,5.0,5.0,0.0,0.0
1152,CHP02074,榼藤子,3.02787952,5.0,5.0,2.0,0.0
1153,CHP05563,竹柏根,3.02056681,4.0,4.0,2.0,0.0
1154,CHP04477,细茎石斛,3.01521398,4.0,4.0,1.0,1.0
1155,CHP00244,蓖麻叶,3.01369991,4.0,4.0,1.0,0.0
1156,CHP05073,野漆树,2.9932120799999997,5.0,5.0,0.0,0.0
1157,CHP02683,毛贯众,2.99158182,4.0,4.0,0.0,0.0
1158,CHP04108,田葱,2.98365075,4.0,4.0,1.0,0.0
1159,CHP00269,遍地金,2.9816114000000002,4.0,4.0,1.0,0.0
1160,CHP05040,野花椒根,2.9801384,5.0,5.0,0.0,0.0
1161,CHP05160,益智仁,2.96892351,5.0,5.0,1.0,0.0
1162,CHP03506,山矾叶,2.96481766,4.0,4.0,1.0,0.0
1163,CHP00576,大叶骨碎补,2.9551936199999997,4.0,4.0,2.0,0.0
1164,CHP03672,神香草,2.95180025,4.0,4.0,1.0,0.0
1165,CHP00098,白花油麻藤,2.94503397,5.0,5.0,0.0,0.0
1166,CHP03283,秋水仙,2.9437829899999994,5.0,5.0,1.0,1.0
1167,CHP03251,青天葵,2.9389303499999997,5.0,5.0,2.0,1.0
1168,CHP01849,假细锥香茶菜,2.92960285,4.0,4.0,0.0,0.0
1169,CHP03087,蓬子菜,2.9154582799999997,4.0,4.0,1.0,0.0
1170,CHP02938,南蛇藤,2.91020631,4.0,4.0,1.0,0.0
1171,CHP00321,草问荆,2.904941,4.0,4.0,1.0,0.0
1172,CHP05287,玉蜀黍,2.89987636,4.0,4.0,1.0,0.0
1173,CHP01593,华南吴茱萸,2.88914039,4.0,4.0,1.0,0.0
1174,CHP00359,车桑仔叶,2.88726193,5.0,5.0,0.0,0.0
1175,CHP05831,龟甲,2.88711631,5.0,5.0,1.0,0.0
1176,CHP01257,关苍术,2.88165183,4.0,4.0,1.0,1.0
